what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1288001961634
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1288001964925
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1288001965771
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288001967245
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288001967981
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1288001984374
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288001985455
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288001990972
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288001994122
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288001995297
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1288002029180
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1288002029838
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1288002030543
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1288002030669
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1288002030778
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1288002030904
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.delete",1288002031029
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1288002032455
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1288002035793
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288002037157
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288002042438
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288002045651
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288002047140
executed,command,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.edit.text.c.format",1288002058218
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.cut",1288002087563
