what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.servlet.ui,1.1.300.v200902191739,"org.eclipse.jst.servlet.ui",1288001447489
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288001459655
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1288001459655
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.import",1288001459655
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288001478519
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288001480422
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288001485378
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288001485761
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1288001495433
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1288001497112
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1288001497128
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288001498583
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288001498982
opened,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1288001506896
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1288001506944
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1288001511276
closed,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1288001511292
activated,view,org.eclipse.ui.navigator.resources,3.4.0.I20090525-2000,"org.eclipse.ui.navigator.ProjectExplorer",1288001513754
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1288001551067
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.file.save",1288001566670
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288001575479
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1288001578724
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1288001579539
activated,editor,org.eclipse.cdt.ui,5.1.0.200906161748,"org.eclipse.cdt.ui.editor.CEditor",1288001580595
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.paste",1288001599970
